Content,Name,Color,Miniature,Initiative,Name German
Core,Abomination,Black,self,dn gray,Abscheulichkeit
Core,Archon,Commander,Shadow Cultist,up gray,Archon
Core,Bane,Commander,Shadow Vampire,up gray,Bane
Core,Brute,SpecialCommander,Abomination,up green,Scheusal
Core,Dire Executioner,Special,Executioner,dn gray,Henker des Schreckens
Core,Drifter Apparition,Special,Executioner,up red,Treibende Erscheinung
Core,Executioner,Gray,self,dn green,Vollstrecker
Core,Manifestation of Wrath,Special,Shadow Knight,dn blue,Manifestation des Zorns
Core,Murderous Apparition,Special,Shadow Vampire,up green,Mordende Erscheinung
Core,Rotten Flesh,Gray,self,dn red,Fleischgolem
Core,Shadow Cultist,White,self,up red,Schattenkultist
Core,Shadow Knight,Black,self,up gray,Schattenritter
Core,Shadow Vampire,Gray,self,up green,Schattenvampir
Core,Skeleton Archer,White,self,up blue,Skelettbogenschütze
Core,Torment of Envy,Special,Abomination,dn orange,Qual der Gier
Core,Undead King,Special,self,,Untoter König
Core,Undead King's Minion,Special,Skeleton Archer,,Undead King's Minion
Apocalypse,Death Horsewoman,Special,self,,Reiterin des Todes
Apocalypse,Dream Titan,Black,self,up gray,Traumtitan
Apocalypse,Faceless Conjurer,Gray,self,dn orange,Anonymer Gaukler
Apocalypse,Famine Horseman,Special,self,,Reiter des Hungers
Apocalypse,Fell Warcaller,Special,Shadow Witch,up blue,Dämonenschreier
Apocalypse,Golem,SpecialCommander,Shadow Knight,up gray,Schattengolem
Apocalypse,Hellish Flayer,Gray,self,dn green,Höllenhäuter
Apocalypse,Plague Horseman,Special,self,,Reiter der Pest
Apocalypse,Shadow Witch,White,self,up blue,Schattenhexe
Apocalypse,Skeleton Knight,White,self,dn red,Knochenritter
Apocalypse,Sower Cultist,Special,Shadow Cultist,dn blue,Kultistensäer
Apocalypse,Unstable Devourer,Special,Rotten Flesh,dn gray,Verzehrender Golem
Apocalypse,War Horsewoman,Special,self,,Reiterin des Krieges
Awakenings,Doctor,Commander,Grim Doctor,up gray,Böse Koryphäe
Awakenings,Fell Asteris,Gray,self,up green,Todeshorn
Awakenings,Flinch,Commander,Night Stalker,up gray,Nachtschrecken
Awakenings,Gorgon Hexer,Gray,self,dn blue,Gorgonenfluch
Awakenings,Gorgoness Witch,White,self,dn green,Gorgonenhexe
Awakenings,Gremlin Horde,White,self,dn red,Gremlinhorde
Awakenings,Grim Doctor,White,self,up blue,Böser Doktor
Awakenings,Hellspawn Brute,Gray,self,dn orange,Höllenbrut
Awakenings,Hexer,Commander,Gorgon Hexer,up gray,Legendärer Fluch
Awakenings,Horde,Commander,Gremlin Horde,up gray,Anführer der Horde
Awakenings,Hunter,Commander,Nagian Hunter,up gray,Jagdführer
Awakenings,Nagian Hunter,White,self,up orange,Nagischer Jäger
Awakenings,Night Stalker,Gray,self,up red,Jäger der Nacht
Awakenings,Ox,Commander,Fell Asteris,up gray,Minotaurus
Awakenings,Skeleton Sentry,Special,Skeleton Archer,up orange,Skelettwächter
Awakenings,Soul Harvester,Commander,self,up orange,Seelenfänger
Awakenings,Spawn,Commander,Hellspawn Brute,up gray,Brutkommandant
Awakenings,Witch,Commander,Gorgoness Witch,up gray,Oberhexe
DesertOfTheHellscar,Corrupted Worm,Gray,self,,Verdorbener Lindwurm
FallenSisters,Fallen Sisters,Commander,self,,Gefallene Schwestern
MonsterPack1,Death Messenger,Gray,self,,Todesbote
MonsterPack1,Scout Of Darkness,White,self,,Dunkler Späher
RiseOfTheUndeadDragon,Corrupted Farmer,White,self,,Verdorbener Baue
SpoilsOfWar,Bone Reaper,Gray,self,dn gray,Sensenmann
SpoilsOfWar,Shadow Mistress,White,self,up orange,Schattenherrin
SpoilsOfWar,Thern,Commander,self,up green,Thern
SpoilsOfWar,Twin,Commander,self,up gray,Twins
SpoilsOfWar,Walking Horror,White,self,dn red,Wanderschrecken
TheRuinOfLuccanor,Lady Claw,Gray,self,,Klauennatter
TheRuinOfLuccanor,Ravager,White,self,,Verwüster
TheShadowWorld,Shadow Guardian,Gray,self,,Schattenwächter
TheShadowWorld,Shadow Pain,White,self,,Schattenschmerz
